well_id,fold,rows,prediction_sse,prediction_rmse,baseline_sse,baseline_rmse,prediction_wins
5aa03df7,3,4871,448920.1971500772,9.600094491063032,211282.46990000256,6.58601427636249,False
5aa403d0,0,3118,1712266.0319776768,23.434061491041202,2056921.0319001093,25.684478606280763,True
5aef5c6c,4,3121,311265.5619779338,9.986622933158058,372594.75460000837,10.926258823623487,True
5b7b6324,0,6564,2812391.5575798242,20.69920218245677,2050218.9621000227,17.673226229685234,False
5bd25f59,4,4210,62188.67174350092,3.843391210387121,79239.88279998522,4.338412715856817,True
5beded95,4,3057,537172.1434642827,13.255893986173847,846891.9154001314,16.64432832796459,True
5cb483ac,3,3852,89964.28719230645,4.8327233257853095,143995.13040001338,6.114075023717169,True
5cdd8dbc,2,4010,542277.6192846517,11.628900485639244,1190689.7974999507,17.231660513857207,True
5d11dfb5,2,5895,528208.9737001741,9.465879744558977,561356.8166000012,9.758377072411292,True
5d7198fd,4,3368,247106.16544566708,8.565559758032657,601734.0599999662,13.36645546990557,True
5def1ce5,2,6443,364103.99947488017,7.517417299513037,417773.3301000272,8.052417616706911,True
5eae34a8,2,4904,381943.71108140127,8.825197859981524,268360.50889999233,7.397484649492449,False
5f4d2a52,1,5225,8121529.102988174,39.42536793659047,16925383.28920011,56.914917258531396,True
5f6756c5,3,5931,156604.13690601263,5.138515290167897,435989.4950000669,8.573813859683462,True
5f75f796,4,5562,733798.7761022607,11.486110744719491,474861.5676000598,9.239915906257119,False
5fb1c15f,0,2860,897382.4099528317,17.71355620450284,956852.1800998587,18.291082508578185,True
5fffa282,1,4201,259884.90376931912,7.865279959605412,118815.64430002618,5.318148657346763,False
60e37807,2,2699,1076502.8314091724,19.971291283060452,1176048.9453999007,20.874268055180604,True
61f27424,2,6220,204547.0503216337,5.734577392032862,49288.71450000141,2.8150009994687166,False
62569ae3,1,3588,511395.8654986513,11.938572168999386,239112.02910001957,8.163464251076302,False
62a6f539,3,3693,95996.27853804678,5.098442723704028,228438.96640000326,7.864940463331049,True
633774dc,3,6233,946571.4401828265,12.323331606118147,1259023.3935000952,14.212429924790966,True
63559d57,3,4069,426588.977453033,10.239080793026424,141364.52879998536,5.894220519880757,False
647f2a41,1,3881,376973.4864146579,9.85561163785182,166312.83899999794,6.546227092935274,False
65156b96,0,3221,477324.43663129385,12.173388210053313,118942.75569999997,6.076781706471203,False
653612bc,2,4605,48584.25479570523,3.248126656137606,36965.495800014935,2.8332405605306503,False
656a067b,0,3051,838273.5349490868,16.57569602673129,656337.2183000294,14.667037832749068,False
